district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷１７號十二樓,18.4,工,,,1111212,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,1060118,157.39,0,0,0,無,有,17780000,128251,坡道平面,33.57,1900000,,RPTQMLMKJHIGFHF48DA,59.92,0,18.82,有
中和區,房地(土地+建物),新北市中和區安和路１７號四樓,30.16,住,,,1111220,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680523,127.46,3,2,1,有,無,5800000,45504,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPURMLQKJHIGFHF09DA,127.46,0,0,無
中和區,房地(土地+建物),新北市中和區景平路５９之２０號二樓,4.37,住,,,1111213,土地1建物1車位0,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851030,53.19,1,1,1,有,有,6800000,127844,,0,0,,RPXQMLRKJHIGFHF76DA,45.81,0.57,0,有
中和區,房地(土地+建物),新北市中和區圓通路１５８巷９弄２５號二樓,38.14,住,,,1111213,土地3建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690108,110.1,3,1,1,有,無,13500000,122616,,0,0,,RPVQMLQKJHIGFHF09DA,110.1,0,0,無
中和區,土地,秀峰段665地號,14.93,住,,,1111228,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,903366,60507,,0,0,,RPRNMLRKJHIGFHF58EA,0,0,0,無
中和區,土地,秀峰段665地號,6.4,住,,,1111228,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,387194,60499,,0,0,,RPSNMLRKJHIGFHF68EA,0,0,0,無
中和區,土地,秀峰段665地號,12.8,住,,,1111228,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,774387,60499,,0,0,,RPTNMLRKJHIGFHF78EA,0,0,0,無
中和區,土地,秀峰段665地號,6.4,住,,,1111228,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,387194,60499,,0,0,,RPUNMLRKJHIGFHF88EA,0,0,0,無
中和區,房地(土地+建物),新北市中和區中正路４１２號三樓,51.05,住,,,1111229,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,800624,122.76,3,2,2,有,無,16500000,134409,,0,0,陽台外推；,RPTTMLRKJHIGFHF76EA,102.64,0.36,11.65,無
中和區,房地(土地+建物),新北市中和區中正路１６９號九樓之十六,8.77,都市：其他:住宅區,,,1111120,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940805,84.96,2,2,1,有,有,13000000,153013,,0,0,夾層；其他增建；,RPTPMLSJKIHGFHF98DA,48.62,0,6.67,有
中和區,房地(土地+建物),新北市中和區景安路１８３號四樓,45.47,住,,,1111128,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,640515,134.04,4,2,2,有,無,15900000,118621,,0,0,,RPWQMLSJKIHGFHF76DA,134.04,0,0,無
中和區,房地(土地+建物),新北市中和區華新街１４３巷６３弄１２號,127.11,住,,,1111101,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,650609,135,4,1,3,有,無,16000000,118519,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXPMLTJJHIGFHF86EA,135,0,0,無
中和區,土地,三民段3-1地號,2.23,都市：其他:人行步道,,,1111130,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,168462,75543,,0,0,包含公共設施保留地用地；,RPOQMLPKKIHGFHF38DA,0,0,0,無
中和區,土地,員山段862地號,0.15,,,,1111130,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3618,0,,0,0,包含公共設施保留地用地；,SPOQMLPKKIHGFHF48DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區中山路二段２巷４５弄２６號四樓,30.23,住,,,1111127,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700130,102.57,3,2,1,有,無,11400000,111144,,0,0,,RPWPMLLKJHIGFHF58DA,102.57,0,0,無
中和區,房地(土地+建物),新北市中和區中正路７２９號五樓,26.82,住,,,1111125,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750109,101.64,3,2,2,有,無,11000000,108225,,0,0,陽台外推；頂樓加蓋；,RPQNMLLKJHIGFHF87EA,86.67,0,9.43,無
中和區,房地(土地+建物),新北市中和區景平路２９５號八樓,14.29,住,,,1111114,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741214,114.39,3,2,2,有,有,13000000,113646,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQQMLLKJHIGFHF08DA,86,0,11.47,有
中和區,土地,灰段608地號,69.84,農,,,1111123,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2217600,31753,,0,0,,RPTPMLMKJHIGFHF38DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區民生街１０巷１４弄１６號,17.02,住,,,1111114,土地1建物1車位0,,四層,公寓(5樓含以下無電梯),住家用,ＲＣ造,650819,38.26,2,2,1,有,無,8400000,219550,,0,0,其他增建；,RPWRMLKKJHIGFHF68DA,38.26,0,0,無
中和區,房地(土地+建物),新北市中和區景平路１８０號十五樓之十,2.54,都市：其他:住宅區,,,1111130,土地4建物1車位0,,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,861104,44.31,1,1,1,有,有,7050000,159106,,0,0,陽台外推；,RPQSMLSLKIHGFHF56DA,29.3,0,5.04,有
中和區,房地(土地+建物),新北市中和區連城路３４７巷４弄９號四樓,28.63,住,,,1111129,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660921,88.69,2,1,1,有,無,9200000,103732,,0,0,陽台外推；頂樓加蓋；其他增建；,RPTQMLNKJHIGFHF58DA,88.69,0,0,無
中和區,房地(土地+建物),新北市中和區連城路３６１號五樓,12.85,都市：其他:住宅區,,,1111122,土地3建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880419,107.95,3,2,2,有,有,14800000,137101,,0,0,其他增建；,RPRQMLQKJHIGFHF68DA,80.44,0,6.33,有
中和區,房地(土地+建物),新北市中和區圓通路２９６巷３１弄１２號三樓,20.38,住,,,1111125,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751121,63.88,2,2,1,有,無,7000000,109580,,0,0,其他增建；,RPTRMLKLKIHGFHF58DA,55.89,0,7.99,無
中和區,房地(土地+建物)+車位,新北市中和區華新街８７號五樓,16.53,都市：其他:住宅區,,,1111105,土地2建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880514,128.47,3,2,2,有,有,15600000,121429,坡道機械,4.44,0,,RPSPMLSKJHIGFHF88DA,79.34,1.69,10.34,有
中和區,房地(土地+建物),新北市中和區中正路６６號四樓之１,6.22,住,,,1111014,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1080529,33.51,1,1,1,有,有,5150000,153685,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRQMLTJJHIGFHF98EA,16.88,2.01,2.84,有
中和區,房地(土地+建物),新北市中和區員山路３２７巷５５號五樓,27.95,住,,,1111021,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711206,104.96,3,2,1,有,無,9350000,89082,,0,0,頂樓加蓋；,RPRPMLNKKIHGFHF38DA,89.84,0,15.12,無
中和區,房地(土地+建物),新北市中和區秀朗路三段１７５巷１６號四樓之一,3.42,,,,1111010,土地7建物1車位0,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850108,32.26,1,1,1,有,有,5200000,161190,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLRLKIHGFHF96EA,25.48,0,3.6,有
